Booking_ID,Professional_ID,City_x,Service_Category,Booking_Date,Time_Slot,Service_Price,Distance_km,Response_Time_Min,Service_Duration_Min,Booking_Status,Cancellation_Reason,Customer_Rating,Professional_Rating,Customer_Type,Payment_Method,Booking_Month,Booking_Day,Is_Weekend,Completed_Flag,Cancelled_Flag,City_y,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating,Week,Service_Hours,Actual_Service_Hours
B07437,P0076,Bengaluru,Cleaning,2026-02-23 12:59:31.918876,4-6 PM,575,1.17,9.9,137,Completed,,4.4,4.7,New,Debit Card,2,Monday,False,1,0,Bengaluru,Cleaning,2,40,4.4,2026-02-23/2026-03-01,2.283333333333333,2.283333333333333
B07438,P0027,Pune,Cleaning,2026-02-23 13:09:54.023760,8-10 AM,901,1.98,10.2,66,Completed,,3.9,4.8,Returning,Cash,2,Monday,False,1,0,Pune,Cleaning,2,36,4.8,2026-02-23/2026-03-01,1.1,1.1
B07439,P0021,Nagpur,Appliance Repair,2026-02-23 13:20:16.128645,2-4 PM,1118,4.42,7.0,127,Completed,,4.6,4.5,Returning,UPI,2,Monday,False,1,0,Nagpur,Appliance Repair,9,40,4.1,2026-02-23/2026-03-01,2.1166666666666667,2.1166666666666667
B07440,P0056,Mumbai,Salon,2026-02-23 13:30:38.233529,12-2 PM,837,3.75,7.5,99,Completed,,4.7,4.1,Returning,Debit Card,2,Monday,False,1,0,Mumbai,Salon,4,36,4.6,2026-02-23/2026-03-01,1.65,1.65
B07441,P0040,Pune,Plumbing,2026-02-23 13:41:00.338413,10-12 PM,720,0.73,9.8,48,Completed,,4.5,4.6,New,Credit Card,2,Monday,False,1,0,Pune,Plumbing,1,40,4.3,2026-02-23/2026-03-01,0.8,0.8
B07442,P0023,Nagpur,Appliance Repair,2026-02-23 13:51:22.443297,4-6 PM,933,2.21,13.4,140,Cancelled,Slot Not Available,,3.9,Returning,Debit Card,2,Monday,False,0,1,Nagpur,Appliance Repair,9,44,4.5,2026-02-23/2026-03-01,2.3333333333333335,0.0
B07443,P0044,Pune,Electrician,2026-02-23 14:01:44.548181,6-8 PM,439,1.88,14.0,74,Completed,,4.1,4.4,New,UPI,2,Monday,False,1,0,Pune,Electrician,8,44,4.5,2026-02-23/2026-03-01,1.2333333333333334,1.2333333333333334
B07444,P0123,Hyderabad,Cleaning,2026-02-23 14:12:06.653066,6-8 PM,778,1.17,15.2,145,Completed,,4.6,4.2,New,Cash,2,Monday,False,1,0,Hyderabad,Cleaning,10,40,4.1,2026-02-23/2026-03-01,2.4166666666666665,2.4166666666666665
B07445,P0019,Nagpur,Electrician,2026-02-23 14:22:28.757950,2-4 PM,690,1.64,8.3,104,Completed,,4.2,4.9,New,Credit Card,2,Monday,False,1,0,Nagpur,Electrician,9,48,4.5,2026-02-23/2026-03-01,1.7333333333333334,1.7333333333333334
B07446,P0115,Delhi,Electrician,2026-02-23 14:32:50.862834,12-2 PM,652,1.34,9.9,110,Completed,,3.7,4.8,Returning,UPI,2,Monday,False,1,0,Delhi,Electrician,10,40,4.7,2026-02-23/2026-03-01,1.8333333333333333,1.8333333333333333
B07447,P0102,Delhi,Salon,2026-02-23 14:43:12.967718,10-12 PM,790,0.69,6.9,75,Completed,,4.6,4.7,Returning,Credit Card,2,Monday,False,1,0,Delhi,Salon,7,40,4.0,2026-02-23/2026-03-01,1.25,1.25
B07448,P0088,Bengaluru,Plumbing,2026-02-23 14:53:35.072602,4-6 PM,532,2.31,12.9,134,Completed,,4.4,5.0,Returning,Credit Card,2,Monday,False,1,0,Bengaluru,Plumbing,7,40,4.2,2026-02-23/2026-03-01,2.2333333333333334,2.2333333333333334
B07449,P0043,Pune,Electrician,2026-02-23 15:03:57.177487,2-4 PM,625,8.5,10.1,57,Completed,,4.4,4.5,New,Credit Card,2,Monday,False,1,0,Pune,Electrician,10,40,4.4,2026-02-23/2026-03-01,0.95,0.95
B07450,P0125,Hyderabad,Salon,2026-02-23 15:14:19.282371,12-2 PM,850,3.0,7.4,75,Completed,,4.7,4.7,Returning,UPI,2,Monday,False,1,0,Hyderabad,Salon,5,40,4.5,2026-02-23/2026-03-01,1.25,1.25
B07451,P0070,Mumbai,Appliance Repair,2026-02-23 15:24:41.387255,4-6 PM,1017,2.13,11.3,177,Completed,,4.7,4.5,Returning,UPI,2,Monday,False,1,0,Mumbai,Appliance Repair,9,40,4.5,2026-02-23/2026-03-01,2.95,2.95
B07452,P0026,Pune,Cleaning,2026-02-23 15:35:03.492139,4-6 PM,1000,0.88,7.7,143,Completed,,5.0,4.3,Returning,Credit Card,2,Monday,False,1,0,Pune,Cleaning,9,40,4.5,2026-02-23/2026-03-01,2.3833333333333333,2.3833333333333333
B07453,P0060,Mumbai,AC Repair,2026-02-23 15:45:25.597023,12-2 PM,1395,3.75,6.2,127,Completed,,5.0,5.0,Returning,Credit Card,2,Monday,False,1,0,Mumbai,AC Repair,9,40,4.2,2026-02-23/2026-03-01,2.1166666666666667,2.1166666666666667
B07454,P0031,Pune,Salon,2026-02-23 15:55:47.701908,2-4 PM,976,5.1,10.0,75,Completed,,4.4,4.3,New,UPI,2,Monday,False,1,0,Pune,Salon,10,40,4.2,2026-02-23/2026-03-01,1.25,1.25
B07455,P0068,Mumbai,Electrician,2026-02-23 16:06:09.806792,6-8 PM,694,0.77,13.7,113,Completed,,4.6,4.1,Returning,Credit Card,2,Monday,False,1,0,Mumbai,Electrician,9,40,4.7,2026-02-23/2026-03-01,1.8833333333333333,1.8833333333333333
B07456,P0050,Mumbai,Cleaning,2026-02-23 16:16:31.911676,2-4 PM,720,1.23,4.3,72,Completed,,4.5,4.7,New,Credit Card,2,Monday,False,1,0,Mumbai,Cleaning,10,48,4.9,2026-02-23/2026-03-01,1.2,1.2
B07457,P0055,Mumbai,Salon,2026-02-23 16:26:54.016560,2-4 PM,974,2.4,7.8,69,Cancelled,Distance Too Far,,4.7,Returning,UPI,2,Monday,False,0,1,Mumbai,Salon,6,40,4.3,2026-02-23/2026-03-01,1.15,0.0
B07458,P0073,Bengaluru,Cleaning,2026-02-23 16:37:16.121444,4-6 PM,541,1.15,11.5,63,Completed,,4.8,4.2,Returning,UPI,2,Monday,False,1,0,Bengaluru,Cleaning,1,40,4.6,2026-02-23/2026-03-01,1.05,1.05
B07459,P0139,Hyderabad,Electrician,2026-02-23 16:47:38.226329,10-12 PM,642,7.15,9.2,112,Completed,,4.6,4.1,New,UPI,2,Monday,False,1,0,Hyderabad,Electrician,1,36,4.5,2026-02-23/2026-03-01,1.8666666666666667,1.8666666666666667
B07460,P0050,Mumbai,Cleaning,2026-02-23 16:58:00.331213,6-8 PM,671,4.01,10.6,97,Completed,,4.4,4.9,Returning,Debit Card,2,Monday,False,1,0,Mumbai,Cleaning,10,48,4.9,2026-02-23/2026-03-01,1.6166666666666667,1.6166666666666667
B07461,P0065,Mumbai,Electrician,2026-02-23 17:08:22.436097,12-2 PM,635,4.82,11.3,70,Cancelled,Slot Not Available,,4.1,New,UPI,2,Monday,False,0,1,Mumbai,Electrician,3,44,4.6,2026-02-23/2026-03-01,1.1666666666666667,0.0
B07462,P0115,Delhi,Electrician,2026-02-23 17:18:44.540981,6-8 PM,656,0.97,14.8,60,Completed,,4.5,4.0,Returning,UPI,2,Monday,False,1,0,Delhi,Electrician,10,40,4.7,2026-02-23/2026-03-01,1.0,1.0
B07463,P0073,Bengaluru,Cleaning,2026-02-23 17:29:06.645865,12-2 PM,561,4.79,8.0,97,Cancelled,Customer Changed Mind,,5.0,Returning,UPI,2,Monday,False,0,1,Bengaluru,Cleaning,1,40,4.6,2026-02-23/2026-03-01,1.6166666666666667,0.0
B07464,P0061,Mumbai,Plumbing,2026-02-23 17:39:28.750750,4-6 PM,498,2.92,12.2,71,Completed,,4.9,4.1,Returning,Credit Card,2,Monday,False,1,0,Mumbai,Plumbing,10,40,4.7,2026-02-23/2026-03-01,1.1833333333333333,1.1833333333333333
B07465,P0106,Delhi,AC Repair,2026-02-23 17:49:50.855634,12-2 PM,1155,2.4,6.5,102,Completed,,4.3,4.8,Returning,UPI,2,Monday,False,1,0,Delhi,AC Repair,9,40,4.0,2026-02-23/2026-03-01,1.7,1.7
B07466,P0133,Hyderabad,Plumbing,2026-02-23 18:00:12.960518,6-8 PM,650,5.43,16.1,120,Completed,,4.3,5.0,New,UPI,2,Monday,False,1,0,Hyderabad,Plumbing,3,40,4.3,2026-02-23/2026-03-01,2.0,2.0
B07467,P0096,Bengaluru,Appliance Repair,2026-02-23 18:10:35.065402,10-12 PM,921,1.96,6.2,130,Completed,,4.5,4.8,Returning,Debit Card,2,Monday,False,1,0,Bengaluru,Appliance Repair,5,40,4.7,2026-02-23/2026-03-01,2.1666666666666665,2.1666666666666665
B07468,P0026,Pune,Cleaning,2026-02-23 18:20:57.170286,12-2 PM,1045,5.39,9.2,86,Cancelled,Price Too High,,4.6,New,Cash,2,Monday,False,0,1,Pune,Cleaning,9,40,4.5,2026-02-23/2026-03-01,1.4333333333333333,0.0
B07469,P0068,Mumbai,Electrician,2026-02-23 18:31:19.275171,4-6 PM,737,1.01,15.0,58,Completed,,4.4,4.5,Returning,Credit Card,2,Monday,False,1,0,Mumbai,Electrician,9,40,4.7,2026-02-23/2026-03-01,0.9666666666666667,0.9666666666666667
B07470,P0069,Mumbai,Appliance Repair,2026-02-23 18:41:41.380055,4-6 PM,852,3.54,8.3,147,Completed,,4.9,4.6,Returning,UPI,2,Monday,False,1,0,Mumbai,Appliance Repair,2,40,4.9,2026-02-23/2026-03-01,2.45,2.45
B07471,P0052,Mumbai,Cleaning,2026-02-23 18:52:03.484939,10-12 PM,695,6.61,10.5,145,Completed,,4.6,4.4,Returning,Cash,2,Monday,False,1,0,Mumbai,Cleaning,6,40,4.6,2026-02-23/2026-03-01,2.4166666666666665,2.4166666666666665
B07472,P0039,Pune,Plumbing,2026-02-23 19:02:25.589823,12-2 PM,635,1.01,6.0,70,Completed,,4.9,4.5,Returning,UPI,2,Monday,False,1,0,Pune,Plumbing,10,36,4.6,2026-02-23/2026-03-01,1.1666666666666667,1.1666666666666667
B07473,P0065,Mumbai,Electrician,2026-02-23 19:12:47.694707,10-12 PM,661,4.48,9.0,114,Completed,,4.6,4.2,Returning,UPI,2,Monday,False,1,0,Mumbai,Electrician,3,44,4.6,2026-02-23/2026-03-01,1.9,1.9
B07474,P0059,Mumbai,AC Repair,2026-02-23 19:23:09.799591,6-8 PM,1081,10.26,17.4,120,Completed,,4.0,4.2,Returning,UPI,2,Monday,False,1,0,Mumbai,AC Repair,7,48,4.3,2026-02-23/2026-03-01,2.0,2.0
B07475,P0036,Pune,AC Repair,2026-02-23 19:33:31.904476,8-10 PM,1184,11.1,20.3,171,Completed,,4.3,4.4,New,UPI,2,Monday,False,1,0,Pune,AC Repair,2,40,4.6,2026-02-23/2026-03-01,2.85,2.85
B07476,P0127,Hyderabad,Salon,2026-02-23 19:43:54.009360,12-2 PM,706,3.06,5.6,55,Completed,,4.5,3.8,New,UPI,2,Monday,False,1,0,Hyderabad,Salon,9,40,4.8,2026-02-23/2026-03-01,0.9166666666666666,0.9166666666666666
B07477,P0133,Hyderabad,Plumbing,2026-02-23 19:54:16.114244,2-4 PM,592,7.37,13.7,111,Completed,,4.1,4.3,New,Cash,2,Monday,False,1,0,Hyderabad,Plumbing,3,40,4.3,2026-02-23/2026-03-01,1.85,1.85
B07478,P0103,Delhi,Salon,2026-02-23 20:04:38.219128,2-4 PM,808,7.28,8.9,71,Completed,,4.4,4.5,Returning,UPI,2,Monday,False,1,0,Delhi,Salon,10,48,4.5,2026-02-23/2026-03-01,1.1833333333333333,1.1833333333333333
B07479,P0060,Mumbai,AC Repair,2026-02-23 20:15:00.324012,10-12 PM,1177,2.12,7.9,103,Completed,,4.7,5.0,Returning,UPI,2,Monday,False,1,0,Mumbai,AC Repair,9,40,4.2,2026-02-23/2026-03-01,1.7166666666666666,1.7166666666666666
B07480,P0072,Mumbai,Appliance Repair,2026-02-23 20:25:22.428897,4-6 PM,1186,1.3,14.0,61,Completed,,3.6,4.3,Returning,Credit Card,2,Monday,False,1,0,Mumbai,Appliance Repair,8,44,4.2,2026-02-23/2026-03-01,1.0166666666666666,1.0166666666666666
B07481,P0100,Delhi,Cleaning,2026-02-23 20:35:44.533781,4-6 PM,791,4.68,11.9,79,Completed,,4.8,4.3,Returning,Credit Card,2,Monday,False,1,0,Delhi,Cleaning,2,40,4.5,2026-02-23/2026-03-01,1.3166666666666667,1.3166666666666667
B07482,P0081,Bengaluru,AC Repair,2026-02-23 20:46:06.638665,4-6 PM,1138,3.33,14.0,165,Completed,,4.6,4.7,New,Credit Card,2,Monday,False,1,0,Bengaluru,AC Repair,9,48,4.6,2026-02-23/2026-03-01,2.75,2.75
B07483,P0084,Bengaluru,AC Repair,2026-02-23 20:56:28.743549,8-10 AM,1171,1.43,8.1,135,Completed,,5.0,4.5,Returning,UPI,2,Monday,False,1,0,Bengaluru,AC Repair,3,40,4.3,2026-02-23/2026-03-01,2.25,2.25
B07484,P0005,Nagpur,Salon,2026-02-23 21:06:50.848433,8-10 AM,806,1.59,9.6,84,Completed,,4.7,4.3,New,Debit Card,2,Monday,False,1,0,Nagpur,Salon,6,36,4.5,2026-02-23/2026-03-01,1.4,1.4
B07485,P0087,Bengaluru,Plumbing,2026-02-23 21:17:12.953318,8-10 PM,735,3.39,9.0,97,Completed,,5.0,4.2,New,Credit Card,2,Monday,False,1,0,Bengaluru,Plumbing,1,44,4.5,2026-02-23/2026-03-01,1.6166666666666667,1.6166666666666667
B07486,P0124,Hyderabad,Cleaning,2026-02-23 21:27:35.058202,8-10 PM,558,2.03,10.1,135,Completed,,4.3,4.4,New,Credit Card,2,Monday,False,1,0,Hyderabad,Cleaning,7,36,4.2,2026-02-23/2026-03-01,2.25,2.25
B07487,P0011,Nagpur,AC Repair,2026-02-23 21:37:57.163086,8-10 AM,1314,2.96,6.8,113,Completed,,4.1,4.5,New,UPI,2,Monday,False,1,0,Nagpur,AC Repair,5,40,3.9,2026-02-23/2026-03-01,1.8833333333333333,1.8833333333333333
B07488,P0058,Mumbai,AC Repair,2026-02-23 21:48:19.267970,4-6 PM,1357,7.51,18.2,80,Completed,,4.3,3.2,Returning,Cash,2,Monday,False,1,0,Mumbai,AC Repair,9,40,4.3,2026-02-23/2026-03-01,1.3333333333333333,1.3333333333333333
B07489,P0059,Mumbai,AC Repair,2026-02-23 21:58:41.372854,8-10 AM,1134,2.26,9.4,93,Completed,,4.2,3.9,New,Debit Card,2,Monday,False,1,0,Mumbai,AC Repair,7,48,4.3,2026-02-23/2026-03-01,1.55,1.55
B07490,P0074,Bengaluru,Cleaning,2026-02-23 22:09:03.477739,6-8 PM,661,3.93,11.8,141,Completed,,4.1,4.5,Returning,UPI,2,Monday,False,1,0,Bengaluru,Cleaning,6,40,5.0,2026-02-23/2026-03-01,2.35,2.35
B07491,P0003,Nagpur,Cleaning,2026-02-23 22:19:25.582623,8-10 AM,750,5.34,14.8,125,Completed,,3.9,4.7,Returning,Credit Card,2,Monday,False,1,0,Nagpur,Cleaning,3,36,3.9,2026-02-23/2026-03-01,2.0833333333333335,2.0833333333333335
B07492,P0133,Hyderabad,Plumbing,2026-02-23 22:29:47.687507,4-6 PM,499,7.41,11.9,79,Rescheduled,,,4.6,New,UPI,2,Monday,False,0,0,Hyderabad,Plumbing,3,40,4.3,2026-02-23/2026-03-01,1.3166666666666667,1.3166666666666667
B07493,P0003,Nagpur,Cleaning,2026-02-23 22:40:09.792391,4-6 PM,660,3.02,13.4,69,Completed,,4.4,4.2,Returning,Credit Card,2,Monday,False,1,0,Nagpur,Cleaning,3,36,3.9,2026-02-23/2026-03-01,1.15,1.15
B07494,P0101,Delhi,Salon,2026-02-23 22:50:31.897275,8-10 AM,934,2.64,13.5,65,Completed,,4.4,4.5,New,Credit Card,2,Monday,False,1,0,Delhi,Salon,3,44,4.3,2026-02-23/2026-03-01,1.0833333333333333,1.0833333333333333
B07495,P0017,Nagpur,Electrician,2026-02-23 23:00:54.002160,4-6 PM,444,7.58,16.0,84,Completed,,4.1,4.4,Returning,UPI,2,Monday,False,1,0,Nagpur,Electrician,4,40,4.6,2026-02-23/2026-03-01,1.4,1.4
B07496,P0028,Pune,Cleaning,2026-02-23 23:11:16.107044,8-10 PM,608,3.17,12.5,82,Completed,,4.4,4.8,New,UPI,2,Monday,False,1,0,Pune,Cleaning,5,44,4.1,2026-02-23/2026-03-01,1.3666666666666667,1.3666666666666667
B07497,P0105,Delhi,AC Repair,2026-02-23 23:21:38.211928,8-10 AM,1199,13.14,16.7,67,Cancelled,Long Response Time,,4.6,Returning,UPI,2,Monday,False,0,1,Delhi,AC Repair,10,40,4.5,2026-02-23/2026-03-01,1.1166666666666667,0.0
B07498,P0110,Delhi,Plumbing,2026-02-23 23:32:00.316812,6-8 PM,491,1.08,13.3,51,Completed,,5.0,4.3,Returning,Debit Card,2,Monday,False,1,0,Delhi,Plumbing,6,36,4.5,2026-02-23/2026-03-01,0.85,0.85
B07499,P0124,Hyderabad,Cleaning,2026-02-23 23:42:22.421696,12-2 PM,919,1.0,9.1,60,Completed,,4.7,5.0,Returning,UPI,2,Monday,False,1,0,Hyderabad,Cleaning,7,36,4.2,2026-02-23/2026-03-01,1.0,1.0
B07500,P0008,Nagpur,Salon,2026-02-23 23:52:44.526581,12-2 PM,804,0.5,9.8,68,Completed,,4.3,4.7,New,Cash,2,Monday,False,1,0,Nagpur,Salon,10,36,4.3,2026-02-23/2026-03-01,1.1333333333333333,1.1333333333333333
B07501,P0083,Bengaluru,AC Repair,2026-02-24 00:03:06.631465,4-6 PM,1294,11.17,12.7,99,Cancelled,Distance Too Far,,4.0,Returning,UPI,2,Tuesday,False,0,1,Bengaluru,AC Repair,4,40,4.7,2026-02-23/2026-03-01,1.65,0.0
B07502,P0005,Nagpur,Salon,2026-02-24 00:13:28.736349,8-10 PM,900,1.71,12.6,93,Completed,,4.4,4.3,New,Credit Card,2,Tuesday,False,1,0,Nagpur,Salon,6,36,4.5,2026-02-23/2026-03-01,1.55,1.55
B07503,P0025,Pune,Cleaning,2026-02-24 00:23:50.841233,12-2 PM,646,3.49,15.9,119,Completed,,4.7,3.7,New,UPI,2,Tuesday,False,1,0,Pune,Cleaning,5,48,4.6,2026-02-23/2026-03-01,1.9833333333333334,1.9833333333333334
B07504,P0030,Pune,Salon,2026-02-24 00:34:12.946117,8-10 PM,999,1.25,7.9,115,Completed,,4.3,4.8,Returning,UPI,2,Tuesday,False,1,0,Pune,Salon,3,44,4.7,2026-02-23/2026-03-01,1.9166666666666667,1.9166666666666667
B07505,P0003,Nagpur,Cleaning,2026-02-24 00:44:35.051002,8-10 AM,857,2.02,6.3,61,Rescheduled,,,4.4,New,Debit Card,2,Tuesday,False,0,0,Nagpur,Cleaning,3,36,3.9,2026-02-23/2026-03-01,1.0166666666666666,1.0166666666666666
B07506,P0143,Hyderabad,Appliance Repair,2026-02-24 00:54:57.155886,8-10 PM,1157,0.73,7.1,151,Completed,,4.5,4.9,New,Debit Card,2,Tuesday,False,1,0,Hyderabad,Appliance Repair,1,44,4.5,2026-02-23/2026-03-01,2.5166666666666666,2.5166666666666666
B07507,P0008,Nagpur,Salon,2026-02-24 01:05:19.260770,8-10 AM,1083,2.62,6.7,63,Completed,,4.9,4.0,Returning,Credit Card,2,Tuesday,False,1,0,Nagpur,Salon,10,36,4.3,2026-02-23/2026-03-01,1.05,1.05
B07508,P0084,Bengaluru,AC Repair,2026-02-24 01:15:41.365654,10-12 PM,1401,2.78,4.9,96,Cancelled,Professional Unavailable,,5.0,Returning,UPI,2,Tuesday,False,0,1,Bengaluru,AC Repair,3,40,4.3,2026-02-23/2026-03-01,1.6,0.0
B07509,P0084,Bengaluru,AC Repair,2026-02-24 01:26:03.470538,8-10 PM,967,2.59,9.2,123,Completed,,4.5,4.7,Returning,Credit Card,2,Tuesday,False,1,0,Bengaluru,AC Repair,3,40,4.3,2026-02-23/2026-03-01,2.05,2.05
B07510,P0038,Pune,Plumbing,2026-02-24 01:36:25.575423,12-2 PM,827,0.84,13.0,133,Completed,,4.7,4.6,New,UPI,2,Tuesday,False,1,0,Pune,Plumbing,4,44,4.3,2026-02-23/2026-03-01,2.216666666666667,2.216666666666667
B07511,P0130,Hyderabad,AC Repair,2026-02-24 01:46:47.680307,8-10 AM,1130,3.59,1.9,95,Completed,,4.2,4.3,Returning,Cash,2,Tuesday,False,1,0,Hyderabad,AC Repair,1,40,4.7,2026-02-23/2026-03-01,1.5833333333333333,1.5833333333333333
B07512,P0068,Mumbai,Electrician,2026-02-24 01:57:09.785191,8-10 PM,689,2.71,9.5,52,Cancelled,Slot Not Available,,4.6,Returning,Debit Card,2,Tuesday,False,0,1,Mumbai,Electrician,9,40,4.7,2026-02-23/2026-03-01,0.8666666666666667,0.0
B07513,P0143,Hyderabad,Appliance Repair,2026-02-24 02:07:31.890075,8-10 PM,986,3.05,11.4,108,Completed,,4.5,4.3,Returning,UPI,2,Tuesday,False,1,0,Hyderabad,Appliance Repair,1,44,4.5,2026-02-23/2026-03-01,1.8,1.8
B07514,P0126,Hyderabad,Salon,2026-02-24 02:17:53.994959,6-8 PM,865,1.27,10.0,57,Completed,,4.8,4.3,Returning,Debit Card,2,Tuesday,False,1,0,Hyderabad,Salon,4,40,4.4,2026-02-23/2026-03-01,0.95,0.95
B07515,P0123,Hyderabad,Cleaning,2026-02-24 02:28:16.099843,8-10 PM,790,6.75,16.6,146,Cancelled,Long Response Time,,4.5,New,Cash,2,Tuesday,False,0,1,Hyderabad,Cleaning,10,40,4.1,2026-02-23/2026-03-01,2.433333333333333,0.0
B07516,P0119,Delhi,Appliance Repair,2026-02-24 02:38:38.204728,12-2 PM,1019,3.1,6.5,162,Completed,,4.4,4.8,Returning,UPI,2,Tuesday,False,1,0,Delhi,Appliance Repair,1,40,4.6,2026-02-23/2026-03-01,2.7,2.7
B07517,P0045,Pune,Appliance Repair,2026-02-24 02:49:00.309612,4-6 PM,910,3.71,13.7,143,Completed,,4.7,4.5,Returning,UPI,2,Tuesday,False,1,0,Pune,Appliance Repair,1,36,4.2,2026-02-23/2026-03-01,2.3833333333333333,2.3833333333333333
B07518,P0008,Nagpur,Salon,2026-02-24 02:59:22.414496,6-8 PM,1057,0.79,10.6,59,Completed,,4.5,4.6,Returning,UPI,2,Tuesday,False,1,0,Nagpur,Salon,10,36,4.3,2026-02-23/2026-03-01,0.9833333333333333,0.9833333333333333
B07519,P0093,Bengaluru,Appliance Repair,2026-02-24 03:09:44.519380,8-10 PM,1007,4.38,11.1,133,Completed,,4.4,4.5,Returning,Credit Card,2,Tuesday,False,1,0,Bengaluru,Appliance Repair,2,36,4.3,2026-02-23/2026-03-01,2.216666666666667,2.216666666666667
B07520,P0064,Mumbai,Plumbing,2026-02-24 03:20:06.624264,8-10 PM,649,6.55,11.0,50,Completed,,4.4,4.7,New,Cash,2,Tuesday,False,1,0,Mumbai,Plumbing,9,40,4.6,2026-02-23/2026-03-01,0.8333333333333334,0.8333333333333334
B07521,P0108,Delhi,AC Repair,2026-02-24 03:30:28.729149,8-10 AM,1334,10.53,10.8,113,Cancelled,Distance Too Far,,4.5,Returning,UPI,2,Tuesday,False,0,1,Delhi,AC Repair,5,40,4.5,2026-02-23/2026-03-01,1.8833333333333333,0.0
B07522,P0119,Delhi,Appliance Repair,2026-02-24 03:40:50.834033,12-2 PM,971,7.37,7.3,61,Completed,,4.7,4.5,Returning,Cash,2,Tuesday,False,1,0,Delhi,Appliance Repair,1,40,4.6,2026-02-23/2026-03-01,1.0166666666666666,1.0166666666666666
B07523,P0040,Pune,Plumbing,2026-02-24 03:51:12.938917,4-6 PM,554,11.28,12.1,64,Cancelled,Distance Too Far,,4.0,New,UPI,2,Tuesday,False,0,1,Pune,Plumbing,1,40,4.3,2026-02-23/2026-03-01,1.0666666666666667,0.0
B07524,P0019,Nagpur,Electrician,2026-02-24 04:01:35.043801,6-8 PM,445,7.84,14.7,90,Completed,,3.9,4.2,Returning,Credit Card,2,Tuesday,False,1,0,Nagpur,Electrician,9,48,4.5,2026-02-23/2026-03-01,1.5,1.5
B07525,P0035,Pune,AC Repair,2026-02-24 04:11:57.148685,12-2 PM,1313,4.12,4.7,71,Completed,,4.7,4.3,New,Credit Card,2,Tuesday,False,1,0,Pune,AC Repair,4,48,4.8,2026-02-23/2026-03-01,1.1833333333333333,1.1833333333333333
B07526,P0092,Bengaluru,Electrician,2026-02-24 04:22:19.253570,8-10 AM,490,6.93,11.4,101,Completed,,4.8,4.8,Returning,UPI,2,Tuesday,False,1,0,Bengaluru,Electrician,3,40,4.6,2026-02-23/2026-03-01,1.6833333333333333,1.6833333333333333
B07527,P0007,Nagpur,Salon,2026-02-24 04:32:41.358454,10-12 PM,1176,4.61,5.9,95,Completed,,4.1,3.9,Returning,UPI,2,Tuesday,False,1,0,Nagpur,Salon,5,40,4.4,2026-02-23/2026-03-01,1.5833333333333333,1.5833333333333333
B07528,P0091,Bengaluru,Electrician,2026-02-24 04:43:03.463338,2-4 PM,770,5.84,6.9,106,Completed,,5.0,4.3,Returning,UPI,2,Tuesday,False,1,0,Bengaluru,Electrician,4,44,4.7,2026-02-23/2026-03-01,1.7666666666666666,1.7666666666666666
B07529,P0083,Bengaluru,AC Repair,2026-02-24 04:53:25.568222,8-10 AM,1284,8.72,9.2,172,Completed,,4.8,4.4,Returning,Cash,2,Tuesday,False,1,0,Bengaluru,AC Repair,4,40,4.7,2026-02-23/2026-03-01,2.8666666666666667,2.8666666666666667
B07530,P0034,Pune,AC Repair,2026-02-24 05:03:47.673106,8-10 AM,972,8.41,8.7,103,Completed,,4.2,4.7,New,Credit Card,2,Tuesday,False,1,0,Pune,AC Repair,5,40,4.5,2026-02-23/2026-03-01,1.7166666666666666,1.7166666666666666
B07531,P0091,Bengaluru,Electrician,2026-02-24 05:14:09.777991,2-4 PM,545,13.52,15.5,95,Completed,,4.3,4.5,Returning,Credit Card,2,Tuesday,False,1,0,Bengaluru,Electrician,4,44,4.7,2026-02-23/2026-03-01,1.5833333333333333,1.5833333333333333
B07532,P0074,Bengaluru,Cleaning,2026-02-24 05:24:31.882875,4-6 PM,677,9.31,15.7,104,Cancelled,Long Response Time,,4.5,Returning,UPI,2,Tuesday,False,0,1,Bengaluru,Cleaning,6,40,5.0,2026-02-23/2026-03-01,1.7333333333333334,0.0
B07533,P0070,Mumbai,Appliance Repair,2026-02-24 05:34:53.987759,6-8 PM,848,3.68,13.2,152,Completed,,4.4,4.4,New,UPI,2,Tuesday,False,1,0,Mumbai,Appliance Repair,9,40,4.5,2026-02-23/2026-03-01,2.533333333333333,2.533333333333333
B07534,P0131,Hyderabad,AC Repair,2026-02-24 05:45:16.092643,4-6 PM,1257,2.47,15.0,112,Cancelled,Slot Not Available,,4.4,Returning,UPI,2,Tuesday,False,0,1,Hyderabad,AC Repair,7,44,4.7,2026-02-23/2026-03-01,1.8666666666666667,0.0
B07535,P0015,Nagpur,Plumbing,2026-02-24 05:55:38.197527,2-4 PM,591,5.33,7.5,124,Completed,,4.8,4.3,Returning,UPI,2,Tuesday,False,1,0,Nagpur,Plumbing,1,40,4.1,2026-02-23/2026-03-01,2.066666666666667,2.066666666666667
B07536,P0058,Mumbai,AC Repair,2026-02-24 06:06:00.302412,8-10 AM,1431,5.0,10.1,156,Completed,,4.1,4.3,New,UPI,2,Tuesday,False,1,0,Mumbai,AC Repair,9,40,4.3,2026-02-23/2026-03-01,2.6,2.6
